Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.246,560.449,1.714,1029,35.605
RollerBallBrain,0.252,562.559,1.746,1036,35.501
RollerBallBrain,0.250,564.439,1.531,1032,35.331
RollerBallBrain,0.254,566.383,1.570,1067,35.099
RollerBallBrain,0.252,568.674,1.907,1066,34.909
RollerBallBrain,0.241,570.637,1.622,1069,34.710
RollerBallBrain,0.255,572.667,1.653,1035,34.399
RollerBallBrain,0.245,574.683,1.667,1077,34.194
RollerBallBrain,0.253,576.836,1.777,1066,34.181
RollerBallBrain,0.251,578.790,1.590,1026,33.922
RollerBallBrain,0.252,580.945,1.784,1031,33.594
RollerBallBrain,0.251,582.780,1.486,1031,33.505
RollerBallBrain,0.249,584.957,1.815,1063,33.367
RollerBallBrain,0.269,586.966,1.631,1065,33.436
RollerBallBrain,0.247,589.145,1.803,1069,33.328
RollerBallBrain,0.257,591.092,1.578,1067,33.264
RollerBallBrain,0.264,593.181,1.711,1029,33.135
RollerBallBrain,0.249,595.248,1.701,1048,33.087
RollerBallBrain,0.247,597.164,1.554,1069,32.997
RollerBallBrain,0.247,599.324,1.786,1068,32.887
RollerBallBrain,0.260,601.428,1.735,1043,32.778
RollerBallBrain,0.252,603.410,1.623,1044,33.309
RollerBallBrain,0.262,605.549,1.747,1089,33.250
RollerBallBrain,0.243,607.417,1.530,1031,33.105
RollerBallBrain,0.262,609.565,1.774,1053,33.023
RollerBallBrain,0.258,611.502,1.582,1040,33.023
RollerBallBrain,0.247,613.452,1.594,1038,33.156
RollerBallBrain,0.254,615.656,1.838,1081,33.117
RollerBallBrain,0.255,617.667,1.643,1076,33.159
RollerBallBrain,0.282,619.699,1.649,1089,33.139
RollerBallBrain,0.262,621.755,1.684,1056,33.114
RollerBallBrain,0.251,623.782,1.670,1047,33.083
RollerBallBrain,0.319,625.869,1.649,1040,33.083
RollerBallBrain,0.247,627.874,1.655,1049,34.317
RollerBallBrain,0.248,630.256,2.010,1058,34.296
RollerBallBrain,0.262,632.175,1.579,1040,34.296
RollerBallBrain,0.254,634.326,1.805,1085,34.519
RollerBallBrain,0.250,636.263,1.586,1053,37.502
RollerBallBrain,0.248,638.349,1.717,1026,37.864
RollerBallBrain,0.247,640.321,1.618,1031,37.798
RollerBallBrain,0.252,642.435,1.753,1040,37.798
RollerBallBrain,0.271,644.471,1.662,1105,37.798
RollerBallBrain,0.255,646.536,1.699,1040,37.798
RollerBallBrain,0.252,648.448,1.554,1040,37.798
RollerBallBrain,0.266,650.560,1.731,1082,38.143
RollerBallBrain,0.252,652.610,1.689,1029,43.390
RollerBallBrain,0.246,654.685,1.715,1049,43.309
RollerBallBrain,0.248,656.600,1.573,1042,43.292
RollerBallBrain,0.257,658.698,1.722,1040,43.292
RollerBallBrain,0.255,660.618,1.564,1041,43.438
RollerBallBrain,0.261,662.608,1.616,1044,43.420
RollerBallBrain,0.264,664.692,1.711,1056,43.403
RollerBallBrain,0.271,666.765,1.682,1075,43.377
RollerBallBrain,0.259,668.683,1.555,1040,43.377
RollerBallBrain,0.323,670.731,1.628,1046,43.574
RollerBallBrain,0.248,672.800,1.699,1040,43.574
RollerBallBrain,0.243,674.799,1.646,1064,44.497
RollerBallBrain,0.243,676.728,1.584,1044,44.433
RollerBallBrain,0.247,678.716,1.629,1084,44.353
RollerBallBrain,0.251,680.811,1.725,1078,44.340
RollerBallBrain,0.249,682.848,1.674,1038,44.475
RollerBallBrain,0.263,684.796,1.585,1081,49.008
RollerBallBrain,0.245,686.956,1.797,1029,48.826
RollerBallBrain,0.248,688.984,1.658,1041,48.739
RollerBallBrain,0.249,690.952,1.608,1032,49.408
RollerBallBrain,0.256,692.835,1.532,1047,49.398
RollerBallBrain,0.258,695.057,1.842,1089,49.184
RollerBallBrain,0.244,696.927,1.510,1028,49.152
RollerBallBrain,0.252,698.979,1.682,1049,49.212
RollerBallBrain,0.270,700.932,1.584,1058,49.185
RollerBallBrain,0.258,702.928,1.629,1029,49.506
RollerBallBrain,0.247,704.996,1.708,1044,49.996
RollerBallBrain,0.265,707.091,1.711,1089,49.827
RollerBallBrain,0.248,709.177,1.728,1057,49.615
RollerBallBrain,0.244,711.084,1.558,1060,49.563
RollerBallBrain,0.244,713.188,1.741,1077,49.549
RollerBallBrain,0.256,715.056,1.503,1034,49.649
RollerBallBrain,0.248,717.200,1.777,1038,49.525
RollerBallBrain,0.256,719.182,1.618,1070,49.462
RollerBallBrain,0.252,721.292,1.729,1062,49.822
RollerBallBrain,0.263,723.456,1.789,1122,49.637
RollerBallBrain,0.251,725.382,1.575,1040,49.637
RollerBallBrain,0.256,727.439,1.687,1074,55.534
RollerBallBrain,0.253,729.637,1.818,1083,55.470
RollerBallBrain,0.249,731.517,1.528,1066,55.320
RollerBallBrain,0.247,733.624,1.739,1040,55.320
RollerBallBrain,0.263,735.582,1.590,1039,55.242
RollerBallBrain,0.310,737.563,1.571,1040,55.242
RollerBallBrain,0.258,739.639,1.706,1040,55.242
RollerBallBrain,0.263,741.570,1.556,1040,55.242
RollerBallBrain,0.308,743.825,1.827,1040,55.242
RollerBallBrain,0.252,745.906,1.718,1084,55.594
RollerBallBrain,0.257,748.045,1.744,1027,55.549
RollerBallBrain,0.266,749.971,1.556,1040,55.549
RollerBallBrain,0.254,752.028,1.688,1040,55.549
