Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.147,625.377,1.564,1025,-4.317
RollerBallBrain,0.153,627.236,1.568,1027,-4.313
RollerBallBrain,0.146,629.106,1.598,1029,-4.309
RollerBallBrain,0.151,630.925,1.541,1026,-4.306
RollerBallBrain,0.147,632.766,1.562,1028,-4.302
RollerBallBrain,0.144,634.560,1.515,1029,-4.299
RollerBallBrain,0.147,636.404,1.555,1035,-4.295
RollerBallBrain,0.145,638.303,1.614,1046,-4.292
RollerBallBrain,0.149,640.145,1.564,1032,-4.288
RollerBallBrain,0.149,641.992,1.570,1028,-4.284
RollerBallBrain,0.147,643.818,1.534,1032,-4.281
RollerBallBrain,0.145,645.665,1.589,1040,-4.278
RollerBallBrain,0.148,647.556,1.597,1029,-4.275
RollerBallBrain,0.145,649.406,1.582,1035,-4.271
RollerBallBrain,0.148,651.263,1.561,1034,-4.268
RollerBallBrain,0.149,653.145,1.586,1033,-4.264
RollerBallBrain,0.143,654.979,1.572,1026,-4.261
RollerBallBrain,0.150,656.832,1.559,1028,-4.257
RollerBallBrain,0.146,658.676,1.565,1030,-4.254
RollerBallBrain,0.146,660.505,1.544,1035,-4.250
RollerBallBrain,0.147,662.331,1.541,1027,-4.247
RollerBallBrain,0.150,664.192,1.583,1035,-4.244
RollerBallBrain,0.142,666.040,1.575,1036,-4.241
RollerBallBrain,0.148,667.906,1.594,1030,-4.238
RollerBallBrain,0.153,669.778,1.596,1036,-4.234
RollerBallBrain,0.146,671.635,1.580,1034,-4.232
RollerBallBrain,0.145,673.492,1.581,1027,-4.229
RollerBallBrain,0.145,675.301,1.541,1027,-4.226
RollerBallBrain,0.152,677.113,1.526,1026,-4.223
RollerBallBrain,0.144,678.944,1.555,1030,-4.220
RollerBallBrain,0.155,680.819,1.583,1028,-4.217
RollerBallBrain,0.144,682.673,1.572,1028,-4.214
RollerBallBrain,0.143,684.527,1.566,1025,-4.212
RollerBallBrain,0.152,686.385,1.579,1033,-4.209
RollerBallBrain,0.144,688.190,1.534,1027,-4.207
RollerBallBrain,0.143,690.036,1.557,1033,-4.205
RollerBallBrain,0.147,691.909,1.599,1027,-4.202
RollerBallBrain,0.150,693.727,1.523,1027,-4.199
RollerBallBrain,0.143,695.582,1.576,1035,-4.196
RollerBallBrain,0.147,697.446,1.590,1033,-4.194
RollerBallBrain,0.183,699.305,1.538,1029,-4.191
RollerBallBrain,0.150,701.197,1.613,1035,-4.187
RollerBallBrain,0.150,703.002,1.522,1029,-4.185
RollerBallBrain,0.144,704.874,1.571,1026,-4.182
RollerBallBrain,0.148,706.720,1.568,1028,-4.179
RollerBallBrain,0.144,708.560,1.561,1026,-4.176
RollerBallBrain,0.156,710.369,1.534,1028,-4.173
RollerBallBrain,0.183,712.325,1.634,1040,-4.170
RollerBallBrain,0.152,714.336,1.723,1030,-4.168
RollerBallBrain,0.145,716.250,1.632,1027,-4.165
RollerBallBrain,0.153,718.184,1.650,1033,-4.162
